Environment,Fraction,Biomass_rate_h-1,Max_growth_h-1
Bulk soil,0.0,0.0,1.621384192830072
Bulk soil,0.1,0.1621384192830072,1.621384192830072
Bulk soil,0.2,0.3242768385660144,1.621384192830072
Bulk soil,0.3,0.4864152578490216,1.621384192830072
Bulk soil,0.4,0.6485536771320288,1.621384192830072
Bulk soil,0.5,0.810692096415036,1.621384192830072
Bulk soil,0.6,0.9728305156980432,1.621384192830072
Bulk soil,0.7,1.1349689349810503,1.621384192830072
Bulk soil,0.8,1.2971073542640577,1.621384192830072
Bulk soil,0.9,1.459245773547065,1.621384192830072
