current_id,name,formula,compartment,charge,suggested_new_id
cpd00209_c0,Nitrate,NO3,c0,-1,
cpd00024_c0,2-Oxoglutarate,C5H4O5,c0,-2,
cpd00086_c0,Propionyl-CoA,C24H36N7O17P3S,c0,-4,
cpd01734_e0,"D-Galactono-1,5-lactone",C6H10O6,e0,0,
cpd11475_c0,(2E)-Decenoyl-[acp],C21H37N2O8PRS,c0,-2,
cpd03572_c0,(S)-3-Hydroxyisobutyryl-CoA,C25H38N7O18P3S,c0,-4,
cpd02884_c0,FAICAR,C10H13N4O9P,c0,-2,
cpd15685_c0,"CDP-1,2-diisotetradecanoylglycerol",C40H71N3O15P2,c0,-2,
cpd03449_c0,"2-Octaprenyl-3-methyl-5-hydroxy-6-methoxy-1,4-benzoquinone",C48H74O4,c0,0,
cpd00018_c0,AMP,C10H12N5O7P,c0,-2,
cpd00358_c0,dUTP,C9H12N2O14P3,c0,-3,
cpd00797_e0,(R)-3-Hydroxybutanoate,C4H7O3,e0,-1,
cpd02921_c0,SAICAR,C13H15N4O12P,c0,-4,
cpd02612_c0,N-Acetylmannosamine 6-phosphate,C8H14NO9P,c0,-2,
cpd00793_c0,Thiamine phosphate,C12H17N4O4PS,c0,0,
cpd02904_c0,alpha-Ribazole 5'-phosphate,C14H17N2O7P,c0,-2,
cpd12370_c0,apo-ACP,HOR,c0,0,
cpd03124_c0,Hexanoyl-CoA,C27H42N7O17P3S,c0,-4,
cpd00171_c0,D-Ribulose5-phosphate,C5H9O8P,c0,-2,
cpd00061_c0,Phosphoenolpyruvate,C3H2O6P,c0,-3,
cpd11542_c0,15-methyl-3-hydroxy-hexa-decanoyl-ACP,C28H53N2O9PRS,c0,-1,
cpd00122_c0,N-Acetyl-D-glucosamine,C8H15NO6,c0,0,
cpd11440_c0,fa6,C16H31O2,c0,-1,
cpd00412_c0,Deoxyuridine,C9H12N2O5,c0,0,
cpd03646_c0,gamma-Glutamyl-3-aminopropiononitrile,C8H13N3O3,c0,0,
cpd00159_c0,L-Lactate,C3H5O3,c0,-1,
cpd11521_c0,5-methyl-3-oxo-hexanoyl-ACP,C18H31N2O9PRS,c0,-1,
cpd03696_e0,Ursin,C12H16O7,e0,0,
cpd04242_c0,DKH,C6H9O6,c0,-1,
cpd15313_c0,1-Acyl-sn-glycero-3-phosphoethanolamine dodecanoyl,C17H36NO7P,c0,0,
cpd11478_c0,(R)-3-Hydroxybutanoyl-[acyl-carrier protein],C15H27N2O9PRS,c0,-1,
biomass_e0,biomass_e0,X,e0,0,
cpd00924_c0,AppppA,C20H24N10O19P4,c0,-4,
cpd03847_c0,Myristic acid,C14H27O2,c0,-1,
cpd15679_c0,"1,2-diisotetradecanoyl-sn-glycerol 3-phosphate",C31H60O8P,c0,-1,
cpd15338_c0,2-Acyl-sn-glycero-3-phosphoethanolamine tetradec-7-enoyl,C19H38NO7P,c0,0,
cpd00363_c0,Ethanol,C2H6O,c0,0,
cpd15423_c0,"CDP-1,2-ditetradecanoylglycerol",C40H71N3O15P2,c0,-2,
cpd00482_c0,2-Phospho-D-glycerate,C3H4O7P,c0,-3,
cpd02030_c0,3-phosphoshikimate,C7H8O8P,c0,-3,
cpd02820_c0,UDP-N-acetylglucosamine enolpyruvate,C20H26N3O19P2,c0,-3,
cpd00339_c0,5-Aminopentanoate,C5H11NO2,c0,0,
cpd00128_c0,Adenine,C5H5N5,c0,0,
cpd11500_c0,6-methyl-3-oxo-octanoyl-ACP,C20H35N2O9PRS,c0,-1,
cpd03762_c0,"cis-1,2-dihydroxybenzoate",C7H7O4,c0,-1,
cpd00804_c0,Sorbitol 6-phosphate,C6H13O9P,c0,-2,
cpd00025_c0,H2O2,H2O2,c0,0,
cpd02394_c0,GAR,C7H14N2O8P,c0,-1,
cpd00641_c0,L-Histidinol,C6H12N3O,c0,1,
Protein_c0,Protein_c0,X,c0,0,
cpd11486_c0,3-Oxohexanoyl-[acp],C17H30N2O9PRS,c0,-2,
cpd03734_c0,Acetamide,C2H5NO,c0,0,
cpd00616_c0,Pretyrosine,C10H12NO5,c0,-1,
cpd03078_c0,Selenophosphate,H2O3PSe,c0,-1,
cpd15319_c0,1-Acyl-sn-glycero-3-phosphoglycerol tetradecanoyl,C20H40O9P,c0,-1,
cpd00331_c0,cis-Aconitate,C6H3O6,c0,-3,
cpd00355_e0,Nicotinamide ribonucleotide,C11H14N2O8P,e0,-1,
cpd11563_c0,12-methyl-3-hydroxy-tridecanoyl-ACP,C25H47N2O9PRS,c0,-1,
cpd11488_c0,Acetoacetyl-ACP,C15H26N2O9PRS,c0,-2,
cpd03561_e0,2-Hydroxybutyrate,C4H7O3,e0,-1,
cpd17043_c0,RNA transcription,X,c0,0,
cpd15329_c0,1-octadecanoyl-sn-glycerol 3-phosphate,C21H41O7P,c0,-2,
cpd00658_c0,Isochorismate,C10H8O6,c0,-2,
cpd11562_c0,12-methyl-3-oxo-tridecanoyl-ACP,C25H45N2O9PRS,c0,-1,
cpd00279_c0,Acetoacetyl-CoA,C25H36N7O18P3S,c0,-4,
cpd02721_c0,DKHP,C6H8O9P,c0,-3,
