Environment,Fraction,Biomass_rate_h-1,Max_growth_h-1
Bulk soil,0.0,0.0,15.173340238884146
Bulk soil,0.1,1.5173340238884148,15.173340238884146
Bulk soil,0.2,3.0346680477768295,15.173340238884146
Bulk soil,0.3,4.552002071665243,15.173340238884146
Bulk soil,0.4,6.069336095553659,15.173340238884146
Bulk soil,0.5,7.586670119442073,15.173340238884146
Bulk soil,0.6,9.104004143330487,15.173340238884146
Bulk soil,0.7,10.621338167218902,15.173340238884146
Bulk soil,0.8,12.138672191107318,15.173340238884146
Bulk soil,0.9,13.656006214995731,15.173340238884146
