Condition	Time (hours)	Biomass (gDW/L)
Nodule	21	9.431590692975902
Nodule	22	13.068683714095776
Nodule	23	18.108344560188236
Nodule	24	25.091443781504612
Nodule	25	34.76742719069738
Nodule	26	48.17474849141429
Nodule	27	66.75231904510885
Nodule	28	92.49393587792405
Nodule	29	128.16226157488688
Nodule	30	177.5853209843791
Nodule	31	246.06733559159065
Nodule	32	340.95798745928244
Nodule	33	472.4412077401189
Nodule	34	654.6281447581475
Nodule	35	907.0716120623111
Nodule	36	1256.864551268714
Nodule	37	1741.5477226150756
Nodule	38	2413.138684740673
Nodule	39	3343.7144651126073
Nodule	40	4633.147068961255
Nodule	41	6419.822023260408
Nodule	42	8895.490299982965
Nodule	43	12325.847568731137
Nodule	44	17079.049401907214
Nodule	45	23665.2227642967
Nodule	46	32791.214271049874
Nodule	47	45436.4509508078
Nodule	48	62958.055104040664
Nodule	49	87236.49447829384
Nodule	50	120877.3993460444
Nodule	51	167491.20606054083
Nodule	52	232080.6392211024
Nodule	53	321577.6181216757
Nodule	54	445587.20979000005
Nodule	55	617418.4717461026
Nodule	56	855512.8174189526
Nodule	57	1185423.2004077337
Nodule	58	1642556.5291989723
Nodule	59	2275973.6359860203
Nodule	60	3153654.6229124963
Nodule	61	4369794.677480356
Nodule	62	6054913.364514448
Nodule	63	8389862.352277676
Nodule	64	11625234.921228424
Nodule	65	16108260.338390347
Nodule	66	22320069.47709422
Nodule	67	30927331.13302126
Nodule	68	42853800.79094941
Nodule	69	59379460.65671339
Nodule	70	82277890.94093198
Nodule	71	114006615.46632838
Nodule	72	157970850.0235906
