Condition	Time (hours)	Biomass (gDW/L)
Nodule	63	163651050398.67914
Nodule	64	265254976172.34085
Nodule	65	429940426369.2829
Nodule	66	696872016857.0985
Nodule	67	1129529995537.9453
Nodule	68	1830806776506.8333
Nodule	69	2967476265477.1084
Nodule	70	4809855141005.974
Nodule	71	7796088125996.244
Nodule	72	12636345230053.51
