metabolites_id,reaction_id,name,reaction_string,subsystem,lower_bound,upper_bound,formula,charge,compartment
phb[c],r_0959,poly-b-hydroxybutyrate,0.2614 ade[c] + 0.706188 ala__L[c] + 0.431004 arg__L[c] + 0.155232 asn__L[c] + 0.312228 asp__L[c] + 0.3586 csn[c] + 0.054684 cys__L[c] + 0.17052 gln__L[c] + 0.343392 glu__L[c] + 0.497448 gly[c] + 0.05 glycogen[c] + 0.3586 gua[c] + 0.124068 his__L[c] + 0.322224 ile__L[c] + 0.599172 leu__L[c] + 0.18816 lys__L[c] + 0.143472 met__L[c] + 0.39 pe_hs[c] + 4.86 phb[c] + 0.231672 phe__L[c] + 0.295764 pro__L[c] + 0.01 ptrc[c] + 0.3586 rna[c] + 0.34104 ser__L[c] + 0.30282 thr__L[c] + 0.0722 thym[c] + 0.081144 trp__L[c] + 0.134652 tyr__L[c] + 0.1892 ura[c] + 0.445704 val__L[c] --> biomass[c],Biomass,0.0,1000.0,C4H6O2,-1,c
zn2[e],r_0531,Zn2+,atp[c] + h2o[c] + zn2[e] --> adp[c] + h[c] + pi[c] + zn2[c],Transport,0.0,1000.0,Zn,2,e
zn2[e],r_0510,Zn2+,zn2[e] <=> ,Exchange,-1000.0,1000.0,Zn,2,e
zn2[e],r_0509,Zn2+,zn2[c] <=> zn2[e],Transport; Symbiosis,-1000.0,1000.0,Zn,2,e
h2[e],r_0511,H2,h2[c] --> h2[e],Transport; Symbiosis,0.0,1000.0,H2,0,e
h2[e],r_0512,H2,h2[e] <=> ,Exchange,-1000.0,1000.0,H2,0,e
3hbcoaR[c],r_0515,(R)-3-Hydroxybutanoyl-CoA,aacoa[c] + h[c] + nadph[c] <=> 3hbcoaR[c] + nadp[c],PHB synthesis; Butanoate metabolism; Glyoxylate and dicarboxylate metabolism,-1000.0,1000.0,C25H39N7O18P3S,-3,c
3hbcoaR[c],r_0513,(R)-3-Hydroxybutanoyl-CoA,3hbcoaR[c] --> coa[c] + phb[c],PHB synthesis,0.0,1000.0,C25H39N7O18P3S,-3,c
3hbbRR[c],r_0514,(R)-3-((R)-3-Hydroxybutanoyloxy)butanoate,h2o[c] + 2.0 phb[c] --> 3hbbRR[c] + h[c],PHB synthesis,0.0,1000.0,C8H13O5,-1,c
3hbbRR[c],r_0516,(R)-3-((R)-3-Hydroxybutanoyloxy)butanoate,3hbbRR[c] + h2o[c] <=> 2.0 bhb[c] + h[c],PHB synthesis; Butanoate metabolism,-1000.0,1000.0,C8H13O5,-1,c
bhb[c],r_0518,(R)-3-Hydroxybutanoate,bhb[c] + nad[c] <=> acac[c] + h[c] + nadh[c],PHB synthesis,-1000.0,1000.0,C4H7O3,-1,c
bhb[c],r_0516,(R)-3-Hydroxybutanoate,3hbbRR[c] + h2o[c] <=> 2.0 bhb[c] + h[c],PHB synthesis; Butanoate metabolism,-1000.0,1000.0,C4H7O3,-1,c
acac[c],r_0519,Acetoacetate,acac[c] + succoa[c] <=> aacoa[c] + succ[c],"PHB synthesis; Valine, leucine and isoleucine degradation; Butanoate metabolism",-1000.0,1000.0,C4H5O3,-1,c
acac[c],r_0518,Acetoacetate,bhb[c] + nad[c] <=> acac[c] + h[c] + nadh[c],PHB synthesis,-1000.0,1000.0,C4H5O3,-1,c
acac[c],r_1062,Acetoacetate,4fumacac[c] + h2o[c] --> acac[c] + fum[c] + h[c],,0.0,1000.0,C4H5O3,-1,c
acac[c],r_0517,Acetoacetate,acac[c] + atp[c] + coa[c] + h[c] --> aacoa[c] + amp[c] + ppi[c],"PHB synthesis; Valine, leucine and isoleucine degradation; Butanoate metabolism",0.0,1000.0,C4H5O3,-1,c
