Environment,Fraction,Biomass_rate_h-1,Max_growth_h-1
Bulk soil,0.0,0.0,0.0
Bulk soil,0.1,0.0,0.0
Bulk soil,0.2,0.0,0.0
Bulk soil,0.3,0.0,0.0
Bulk soil,0.4,0.0,0.0
Bulk soil,0.5,0.0,0.0
Bulk soil,0.6,0.0,0.0
Bulk soil,0.7,0.0,0.0
Bulk soil,0.8,0.0,0.0
Bulk soil,0.9,0.0,0.0
