current_id,name,reaction_string,subsystem,lower_bound,upper_bound
r_0756,,4hbz[c] + 5pg35pg[c] <=> 4h3pb[c] + ppi[c],Ubiquinone and other terpenoid-quinone biosynthesis,-1000.0,1000.0
r_0757,,atp[c] + h[c] + hco3[c] + thr__L[c] --> h2o[c] + lthrcala[c] + ppi[c],Nucleic Acid Processing,0.0,1000.0
r_0758,,chols[c] + h2o[c] <=> chol[c] + so4[c],Amine and Polyamine Degradation,-1000.0,1000.0
r_0759,,acon_T[c] + amet[c] <=> ahcys[c] + e3me2en[c],[],-1000.0,1000.0
r_0760,,2.0 h[c] + 2.0 sox[c] <=> h2o2[c] + o2[c],superoxide radicals degradation,-1000.0,1000.0
r_0761,,blac[c] + h2o[c] <=> subbaa[c],[],-1000.0,1000.0
r_0762,,adelgluladp[c] + pi[c] --> adp[c] + lgluadp[c],[],0.0,1000.0
r_0763,,etfrd[c] + q[c] --> etfox[c] + qh2[c],[],0.0,1000.0
r_0764,,aderna[c] + 2.0 amet[c] <=> 2.0 ahcys[c] + n6dirrna[c],[],-1000.0,1000.0
r_0765,,h2o[c] + rscys[c] <=> gly[c] + sslcys[c],Glutathione Metabolism,-1000.0,1000.0
r_0766,,detripp[c] <=> ppi[c],[],-1000.0,1000.0
r_0767,,cdpdag_cho[c] + sng3p[c] <=> cmp[c] + pgp_cho[c],Glycerophospholipid metabolism,-1000.0,1000.0
r_0768,,argtrna[c] + protein[c] <=> largp[c] + trnaarg[c],[],-1000.0,1000.0
r_0769,,acacp[c] + pi[c] <=> ACP[c] + actp[c],[],-1000.0,1000.0
r_0770,,dtpcudcpp[c] + udpg[c] <=> adgddu[c] + ump[c],[],-1000.0,1000.0
r_0771,,accb[c] + atp[c] + btn[c] --> amp[c] + bccp[c] + ppi[c],[],0.0,1000.0
r_0772,,largp[c] + leutrna[c] <=> lleuargp[c] + trnaleu[c],[],-1000.0,1000.0
r_0773,,leutrna[c] + llysp[c] <=> lleullysp[c] + trnaleu[c],[],-1000.0,1000.0
r_0774,,atp[c] + btnCCP[c] + hco3[c] --> adp[c] + carP[c] + pi[c],[],0.0,1000.0
r_0775,,Sfglutth[c] + h2o[c] <=> for[c] + gthrd[c],Carbon metabolism,-1000.0,1000.0
r_0776,,kdo8p[c] + pi[c] <=> ara5p[c] + h2o[c] + pep[c],Lipopolysaccharide biosynthesis,-1000.0,1000.0
r_0777,,2.0 amet[c] + fscspc4f4s[c] + 8.0 h[c] + pn6ocllys[c] + 2.0 r2f2sf[c] <=> 2.0 dad_5[c] + 2.0 fdxo_22[c] + 4.0 fe2[c] + fscsp[c] + 2.0 h2s[c] + 2.0 met__L[c] + pn6rdillys[c],Lipoic acid metabolism,-1000.0,1000.0
r_0778,,acnm[c] <=> acmana[c] + pyr[c],[],-1000.0,1000.0
r_0779,,5dh4dglc[c] <=> 25dop[c] + co2[c] + h2o[c],Ascorbate and aldarate metabolism,-1000.0,1000.0
r_0780,,3haACP[c] + u3dcga[c] <=> ACP[c] + u2n3ob3hdg[c],[],-1000.0,1000.0
r_0781,,3haACP[c] + uacgam[c] <=> ACP[c] + u3o3r3hnadg[c],[],-1000.0,1000.0
r_0782,,lx[c] + u23ga[c] <=> lipidAds[c] + udp[c],Lipopolysaccharide biosynthesis,-1000.0,1000.0
r_0783,,chitob[c] + h2o[c] <=> 2.0 acgam[c],Amino sugar and nucleotide sugar metabolism,-1000.0,1000.0
r_0784,,3rinct[c] + h2o[c] <=> pi[c] + ribbc[c],[],-1000.0,1000.0
r_0785,,amet[c] + pliso[c] <=> ahcys[c] + plisome[c],[],-1000.0,1000.0
r_0786,,ptpl180[c] <=> ptpl0[c],[],-1000.0,1000.0
r_0787,,acgam1p[c] + utp[c] <=> ppi[c] + uacgam[c],Amino sugar and nucleotide sugar metabolism,-1000.0,1000.0
r_0788,,rooh[c] + trdrd[c] <=> h2o[c] + roh[c] + trdox[c],[],-1000.0,1000.0
r_0789,,anhm[c] + atp[c] + h2o[c] --> acmum6p[c] + adp[c],Amino sugar and nucleotide sugar metabolism,0.0,1000.0
r_0790,,amet[c] + trna7am7c[c] <=> ade[c] + epqtrna[c] + met__L[c],[],-1000.0,1000.0
r_0791,,preq1[c] + trnagua[c] <=> gua[c] + trna7am7c[c],[],-1000.0,1000.0
r_0792,,h2o[c] + u23ga[c] <=> lx[c] + ump[c],Lipopolysaccharide biosynthesis,-1000.0,1000.0
r_0793,,12dgr_TB[c] + atp[c] --> adp[c] + pa_cho[c],Glycerolipid metabolism,0.0,1000.0
r_0794,,thrp[c] <=> applp[c] + co2[c],Porphyrin Metabolism,-1000.0,1000.0
r_0795,,atp[c] + cobalt2[c] + h2o[c] + hgbam[c] --> adp[c] + cob2nda[c] + h[c] + pi[c],Porphyrin and Chlorophyll Metabolism,0.0,1000.0
r_0796,,23dappa[c] + h2o[c] <=> 2.0 nh3[c] + pyr[c],[],-1000.0,1000.0
r_0797,,fald[c] + gthrd[c] <=> HC02121[c],Carbon metabolism,-1000.0,1000.0
r_0798,,h[c] + nadph[c] + qun[c] --> hqn[c] + nadp[c],Aminobenzoate degradation,0.0,1000.0
r_0799,,alia[c] <=> h2o[c] + nt[c],[],-1000.0,1000.0
r_0800,,dmpp[c] + trnaadn[c] <=> ppi[c] + trna6iso[c],Zeatin biosynthesis,-1000.0,1000.0
r_0801,,5pdna[c] + nad[c] --> amp[c] + nmn[c],[],0.0,1000.0
r_0802,,h2o[c] + u3o3r3hnadg[c] <=> ac[c] + u3dcga[c],[],-1000.0,1000.0
r_0803,,2.0 ala__D[c] + atp[c] --> adp[c] + alaala[c] + pi[c],Peptidoglycan biosynthesis,0.0,1000.0
r_0804,,nadp[c] + uamr[c] <=> h[c] + nadph[c] + uaccg[c],Amino sugar and nucleotide sugar metabolism,-1000.0,1000.0
r_0805,,ala__L[c] + atp[c] + uamr[c] --> adp[c] + pi[c] + uama[c],Peptidoglycan biosynthesis,0.0,1000.0
r_0806,,uaGgla[c] + uacgam[c] <=> uaaGgla[c] + udp[c],Peptidoglycan biosynthesis,-1000.0,1000.0
r_0807,,atp[c] + glu__D[c] + uama[c] --> adp[c] + pi[c] + uamag[c],Peptidoglycan biosynthesis,0.0,1000.0
r_0808,,dtpcudcpp[c] + uGgla[c] <=> uaGgla[c] + ump[c],Peptidoglycan biosynthesis,-1000.0,1000.0
r_0809,,acmama[c] + h2o[c] <=> acmum[c] + ala__L[c],[],-1000.0,1000.0
r_0810,,cati[c] + nad[c] --> dhcrn[c] + h[c] + nadh[c],[],0.0,1000.0
r_0811,,atp[c] + glyc[c] --> adp[c] + sng3p[c],Glycerolipid metabolism,0.0,1000.0
r_0812,,5hiu[c] + h2o[c] <=> 5houdic[c],Purine Metabolism,-1000.0,1000.0
r_0813,,5houdic[c] <=> alltn[c] + co2[c],Purine Metabolism,-1000.0,1000.0
r_0814,,ctp[c] + g1p[c] <=> cdpglc[c] + ppi[c],Amino sugar and nucleotide sugar metabolism,-1000.0,1000.0
r_0815,,cdpglc[c] <=> cdp4dh6doglc[c] + h2o[c],Amino sugar and nucleotide sugar metabolism,-1000.0,1000.0
r_0816,,46dd4odtdpglc[c] <=> dtdprham[c],Streptomycin biosynthesis,-1000.0,1000.0
r_0817,,idt[c] + nad[c] --> h[c] + nadh[c] + srb__L[c],[],0.0,1000.0
r_0818,,8aonn[c] + amet[c] <=> amob[c] + dann[c],Biotin metabolism,-1000.0,1000.0
r_0819,,atp[c] + co2[c] + dann[c] --> adp[c] + dtbt[c] + pi[c],Biotin metabolism,0.0,1000.0
r_0820,,ala__L[c] + pmcoa[c] <=> 8aonn[c] + co2[c] + coa[c],Biotin metabolism,-1000.0,1000.0
r_0821,,2.0 amet[c] + dtbt[c] + 2.0 e[c] + 2.0 h[c] + sdo[c] <=> btn[c] + 2.0 dad_5[c] + 2.0 met__L[c],[],-1000.0,1000.0
r_0822,,212e12diac[c] <=> 2oxpaccoa[c],Phenylalanine metabolism,-1000.0,1000.0
