Species,Fraction,Biomass_rate_h-1,Max_growth_h-1
Sinorhizobium fredii,0.0,0.0,0.9528115434140284
Sinorhizobium fredii,0.1,0.09528115434140284,0.9528115434140294
Sinorhizobium fredii,0.2,0.1905623086828057,0.9528115434140314
Sinorhizobium fredii,0.3,0.2858434630242085,0.9528115434140302
Sinorhizobium fredii,0.4,0.3811246173656114,0.9528115434140312
Sinorhizobium fredii,0.5,0.4764057717070142,0.9528115434140305
Sinorhizobium fredii,0.6,0.571686926048417,0.9528115434140311
Sinorhizobium fredii,0.7,0.6669680803898198,0.9528115434140307
Sinorhizobium fredii,0.8,0.7622492347312227,0.9528115434140338
Sinorhizobium fredii,0.9,0.8575303890726256,0.9528115434140326
